PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,SEASON_ID,TEAM_ABBREVIATION,ALTURA_CM
200746,LaMarcus,Aldridge,1610612751,2021-22,BKN,211
2546,Carmelo,Anthony,1610612747,2021-22,LAL,201
1627853,Ryan,Arcidiacono,1610612752,2021-22,NYK,190
201571,D.J.,Augustin,1610612747,2021-22,LAL,180
203145,Kent,Bazemore,1610612747,2021-22,LAL,193
202357,Nemanja,Bjelica,1610612744,2021-22,GSW,206
202339,Eric,Bledsoe,1610612757,2021-22,POR,185
1629833,Keljin,Blevins,1610612757,2021-22,POR,193
1630195,Leandro,Bolmaro,1610612750,2021-22,MIN,198
1629067,Isaac,Bonga,1610612761,2021-22,TOR,203
202340,Avery,Bradley,1610612747,2021-22,LAL,190
1629649,Ignas,Brazdeikis,1610612753,2021-22,ORL,198
1629717,Armoni,Brooks,1610612761,2021-22,TOR,190
1628425,Sterling,Brown,1610612742,2021-22,DAL,196
1630602,Chaundee,Brown,1610612737,2021-22,ATL,196
203504,Trey,Burke,1610612742,2021-22,DAL,183
1629719,Devontae,Cacok,1610612759,2021-22,SAS,201
1630267,Facundo,Campazzo,1610612743,2021-22,DEN,178
1629962,Devin,Cannady,1610612753,2021-22,ORL,188
1629185,Chris,Chiozza,1610612744,2021-22,GSW,180
1627737,Marquese,Chriss,1610612742,2021-22,DAL,206
1629109,Gary,Clark,1610612740,2021-22,NOP,198
1629076,Tyler,Cook,1610612741,2021-22,CHI,203
1630536,Sharife,Cooper,1610612737,2021-22,ATL,185
202326,DeMarcus,Cousins,1610612743,2021-22,DEN,208
1629633,Jarrett,Culver,1610612763,2021-22,MEM,198
202334,Ed,Davis,1610612739,2021-22,CLE,206
1629035,Carsen,Edwards,1610612765,2021-22,DET,180
1629604,CJ,Elleby,1610612757,2021-22,POR,198
201961,Wayne,Ellington,1610612747,2021-22,LAL,193
202324,Derrick,Favors,1610612760,2021-22,OKC,206
1630238,Malik,Fitts,1610612738,2021-22,BOS,196
1627854,Bryn,Forbes,1610612743,2021-22,DEN,188
1628982,Melvin,Frazier,1610612760,2021-22,OKC,196
1629164,Brandon,Goodwin,1610612739,2021-22,CLE,183
203090,Maurice,Harkless,1610612758,2021-22,SAC,201
1629607,Jared,Harper,1610612740,2021-22,NOP,178
1627823,Juancho,Hernangomez,1610612762,2021-22,UTA,206
203918,Rodney,Hood,1610612746,2021-22,LAC,203
2730,Dwight,Howard,1610612747,2021-22,LAL,208
1630210,Markus,Howard,1610612743,2021-22,DEN,178
1630190,Elijah,Hughes,1610612757,2021-22,POR,196
1630624,Feron,Hunt,1610612752,2021-22,NYK,203
201586,Serge,Ibaka,1610612749,2021-22,MIL,211
1628402,Frank,Jackson,1610612765,2021-22,DET,190
1628367,Josh,Jackson,1610612758,2021-22,SAC,203
1630525,David,Johnson,1610612761,2021-22,TOR,193
1626169,Stanley,Johnson,1610612747,2021-22,LAL,198
1629083,Arnoldas,Kulboka,1610612766,2021-22,CHA,208
203087,Jeremy,Lamb,1610612758,2021-22,SAC,196
