PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,TEAM_ABBREVIATION,ALTURA_CM,SEASON_ID,GP,PTS,AST,REB,BLK,MIN,FG_PCT,FG3_PCT,FT_PCT
200746,LaMarcus,Aldridge,1610612751,BKN,211,2021-22,47.0,607.0,42.0,258.0,47.0,1050.0,0.55,0.304,0.873
2546,Carmelo,Anthony,1610612747,LAL,201,2021-22,69.0,919.0,68.0,288.0,52.0,1793.0,0.441,0.375,0.83
1627853,Ryan,Arcidiacono,1610612752,NYK,190,2021-22,10.0,16.0,4.0,8.0,0.0,76.0,0.5,0.444,0.0
201571,D.J.,Augustin,1610612747,LAL,180,2021-22,34.0,182.0,74.0,41.0,0.0,510.0,0.404,0.406,0.868
203145,Kent,Bazemore,1610612747,LAL,193,2021-22,39.0,132.0,34.0,69.0,9.0,545.0,0.324,0.363,0.765
202357,Nemanja,Bjelica,1610612744,GSW,206,2021-22,71.0,433.0,159.0,294.0,26.0,1142.0,0.468,0.362,0.728
202339,Eric,Bledsoe,1610612757,POR,185,2021-22,54.0,534.0,225.0,182.0,19.0,1361.0,0.421,0.313,0.761
1629833,Keljin,Blevins,1610612757,POR,193,2021-22,31.0,95.0,19.0,45.0,1.0,349.0,0.306,0.292,0.545
1630195,Leandro,Bolmaro,1610612750,MIN,198,2021-22,35.0,50.0,21.0,43.0,0.0,241.0,0.315,0.278,0.846
1629067,Isaac,Bonga,1610612761,TOR,203,2021-22,15.0,12.0,4.0,7.0,2.0,69.0,0.231,0.25,0.625
202340,Avery,Bradley,1610612747,LAL,190,2021-22,62.0,394.0,47.0,136.0,9.0,1406.0,0.423,0.39,0.889
1629649,Ignas,Brazdeikis,1610612753,ORL,198,2021-22,42.0,210.0,37.0,72.0,3.0,536.0,0.431,0.31,0.656
1629717,Armoni,Brooks,1610612761,TOR,190,2021-22,41.0,254.0,49.0,81.0,8.0,690.0,0.347,0.3,0.842
1628425,Sterling,Brown,1610612742,DAL,196,2021-22,49.0,160.0,34.0,149.0,7.0,628.0,0.381,0.304,0.933
1630602,Chaundee,Brown,1610612737,ATL,196,2021-22,2.0,2.0,0.0,2.0,0.0,21.0,0.143,0.0,0.0
203504,Trey,Burke,1610612742,DAL,183,2021-22,42.0,214.0,57.0,33.0,0.0,441.0,0.391,0.317,0.87
1629719,Devontae,Cacok,1610612759,SAS,201,2021-22,15.0,46.0,6.0,42.0,7.0,121.0,0.677,0.0,0.571
1630267,Facundo,Campazzo,1610612743,DEN,178,2021-22,65.0,332.0,220.0,117.0,23.0,1184.0,0.361,0.301,0.769
1629962,Devin,Cannady,1610612753,ORL,188,2021-22,5.0,50.0,10.0,6.0,3.0,145.0,0.341,0.405,0.714
1629185,Chris,Chiozza,1610612744,GSW,180,2021-22,34.0,67.0,65.0,36.0,0.0,372.0,0.296,0.321,0.667
1627737,Marquese,Chriss,1610612742,DAL,206,2021-22,34.0,154.0,17.0,103.0,12.0,346.0,0.463,0.32,0.667
1629109,Gary,Clark,1610612740,NOP,198,2021-22,38.0,101.0,18.0,90.0,7.0,378.0,0.375,0.4,0.7
1629076,Tyler,Cook,1610612741,CHI,203,2021-22,20.0,67.0,3.0,53.0,4.0,200.0,0.605,0.0,0.656
1630536,Sharife,Cooper,1610612737,ATL,185,2021-22,13.0,7.0,5.0,5.0,0.0,39.0,0.214,0.167,0.0
202326,DeMarcus,Cousins,1610612743,DEN,208,2021-22,17.0,154.0,18.0,98.0,8.0,287.0,0.466,0.271,0.816
1629633,Jarrett,Culver,1610612763,MEM,198,2021-22,37.0,130.0,33.0,48.0,5.0,338.0,0.378,0.255,0.471
202334,Ed,Davis,1610612739,CLE,206,2021-22,31.0,28.0,7.0,64.0,9.0,201.0,0.688,0.0,0.429
1629035,Carsen,Edwards,1610612765,DET,180,2021-22,4.0,23.0,14.0,6.0,0.0,79.0,0.3,0.25,1.0
1629604,CJ,Elleby,1610612757,POR,198,2021-22,58.0,339.0,87.0,227.0,19.0,1174.0,0.393,0.294,0.714
201961,Wayne,Ellington,1610612747,LAL,193,2021-22,43.0,287.0,30.0,77.0,5.0,810.0,0.414,0.389,0.818
202324,Derrick,Favors,1610612760,OKC,206,2021-22,39.0,206.0,25.0,184.0,12.0,652.0,0.516,0.125,0.64
1630238,Malik,Fitts,1610612738,BOS,196,2021-22,7.0,6.0,0.0,10.0,0.0,35.0,0.222,0.5,0.0
1627854,Bryn,Forbes,1610612743,DEN,188,2021-22,40.0,363.0,41.0,63.0,3.0,676.0,0.432,0.417,0.898
1628982,Melvin,Frazier,1610612760,OKC,196,2021-22,3.0,32.0,1.0,13.0,0.0,120.0,0.271,0.048,0.714
1629164,Brandon,Goodwin,1610612739,CLE,183,2021-22,36.0,171.0,91.0,67.0,1.0,502.0,0.416,0.345,0.632
203090,Maurice,Harkless,1610612758,SAC,201,2021-22,47.0,217.0,23.0,112.0,24.0,864.0,0.459,0.307,0.714
1629607,Jared,Harper,1610612740,NOP,178,2021-22,5.0,37.0,14.0,2.0,1.0,43.0,0.538,0.417,1.0
1627823,Juancho,Hernangomez,1610612762,UTA,206,2021-22,18.0,19.0,3.0,25.0,2.0,96.0,0.185,0.167,0.667
203918,Rodney,Hood,1610612746,LAC,203,2021-22,39.0,129.0,30.0,67.0,4.0,581.0,0.351,0.3,0.929
2730,Dwight,Howard,1610612747,LAL,208,2021-22,60.0,372.0,35.0,356.0,36.0,971.0,0.612,0.533,0.658
1630210,Markus,Howard,1610612743,DEN,178,2021-22,31.0,126.0,7.0,12.0,0.0,177.0,0.386,0.4,0.87
1630190,Elijah,Hughes,1610612757,POR,196,2021-22,14.0,43.0,6.0,17.0,1.0,112.0,0.417,0.357,1.0
1630624,Feron,Hunt,1610612752,NYK,203,2021-22,2.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0
201586,Serge,Ibaka,1610612749,MIL,211,2021-22,35.0,232.0,36.0,150.0,26.0,538.0,0.49,0.387,0.69
1628402,Frank,Jackson,1610612765,DET,190,2021-22,53.0,560.0,55.0,87.0,9.0,1164.0,0.402,0.308,0.827
1628367,Josh,Jackson,1610612758,SAC,203,2021-22,39.0,276.0,49.0,123.0,18.0,707.0,0.41,0.265,0.714
1630525,David,Johnson,1610612761,TOR,193,2021-22,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1626169,Stanley,Johnson,1610612747,LAL,198,2021-22,48.0,320.0,80.0,155.0,14.0,1094.0,0.466,0.314,0.716
1629083,Arnoldas,Kulboka,1610612766,CHA,208,2021-22,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
203087,Jeremy,Lamb,1610612758,SAC,196,2021-22,39.0,276.0,51.0,94.0,14.0,613.0,0.373,0.333,0.838
203115,Will,Barton,1610612761,TOR,196,2021-22,71.0,1043.0,276.0,340.0,31.0,2276.0,0.438,0.365,0.803
203920,Khem,Birch,1610612759,SAS,203,2021-22,55.0,247.0,56.0,239.0,26.0,991.0,0.485,0.0,0.746
1630547,James,Bouknight,1610612766,CHA,193,2021-22,31.0,142.0,26.0,52.0,1.0,304.0,0.348,0.347,0.871
1631219,John,Butler,1610612757,POR,213,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1630176,Vernon,Carey,1610612762,UTA,208,2021-22,4.0,8.0,0.0,5.0,0.0,17.0,0.5,0.0,0.667
203487,Michael,Carter-Williams,1610612753,ORL,196,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1626161,Willie,Cauley-Stein,1610612745,HOU,213,2021-22,18.0,34.0,9.0,38.0,3.0,177.0,0.457,0.5,0.5
1641645,Xavier,Cooks,1610612764,WAS,203,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1630620,Darius,Days,1610612745,HOU,201,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
203473,Dewayne,Dedmon,1610612755,PHI,208,2021-22,67.0,422.0,47.0,386.0,42.0,1065.0,0.566,0.404,0.75
203521,Matthew,Dellavedova,1610612758,SAC,190,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1628977,Hamidou,Diallo,1610612765,DET,196,2021-22,58.0,636.0,73.0,277.0,17.0,1269.0,0.496,0.247,0.65
203476,Gorgui,Dieng,1610612759,SAS,208,2021-22,44.0,154.0,34.0,121.0,13.0,371.0,0.473,0.426,0.731
1628408,PJ,Dozier,1610612758,SAC,198,2021-22,18.0,97.0,29.0,63.0,6.0,340.0,0.364,0.313,0.769
201609,Goran,Dragic,1610612749,MIL,193,2021-22,5.0,40.0,9.0,14.0,1.0,90.0,0.382,0.286,1.0
1629117,Wenyen,Gabriel,1610612747,LAL,206,2021-22,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
200752,Rudy,Gay,1610612762,UTA,203,2021-22,55.0,446.0,56.0,242.0,19.0,1038.0,0.414,0.345,0.785
201980,Danny,Green,1610612739,CLE,198,2021-22,62.0,366.0,64.0,157.0,37.0,1353.0,0.394,0.38,0.786
203210,JaMychal,Green,1610612744,GSW,206,2021-22,67.0,432.0,59.0,281.0,26.0,1085.0,0.486,0.266,0.871
201933,Blake,Griffin,1610612738,BOS,206,2021-22,56.0,359.0,105.0,228.0,14.0,958.0,0.425,0.262,0.724
1630181,R.J.,Hampton,1610612765,DET,193,2021-22,64.0,489.0,158.0,194.0,13.0,1402.0,0.383,0.35,0.641
1626149,Montrezl,Harrell,1610612755,PHI,201,2021-22,46.0,647.0,96.0,309.0,31.0,1117.0,0.645,0.267,0.727
203925,Joe,Harris,1610612751,BKN,198,2021-22,14.0,158.0,14.0,56.0,2.0,423.0,0.452,0.466,0.833
1627885,Shaquille,Harrison,1610612747,LAL,193,2021-22,2.0,4.0,3.0,4.0,1.0,23.0,0.333,0.0,0.0
2617,Udonis,Haslem,1610612748,MIA,201,2021-22,13.0,32.0,4.0,25.0,1.0,83.0,0.452,0.25,1.0
1630165,Killian,Hayes,1610612765,DET,196,2021-22,66.0,453.0,277.0,210.0,35.0,1647.0,0.383,0.263,0.77
1626195,Willy,Hernangomez,1610612740,NOP,211,2021-22,50.0,453.0,63.0,338.0,19.0,839.0,0.52,0.333,0.773
201588,George,Hill,1610612754,IND,193,2021-22,54.0,334.0,120.0,155.0,6.0,1253.0,0.429,0.306,0.919
1627863,Danuel,House,1610612755,PHI,198,2021-22,16.0,77.0,19.0,43.0,5.0,233.0,0.338,0.294,0.895
1631309,Trevor,Hudgins,1610612745,HOU,183,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
2738,Andre,Iguodala,1610612744,GSW,198,2021-22,31.0,124.0,114.0,100.0,22.0,603.0,0.38,0.23,0.75
1630637,Carlik,Jones,1610612741,CHI,183,2021-22,3.0,2.0,5.0,3.0,0.0,19.0,0.0,0.0,1.0
1629662,Mfiondu,Kabengele,1610612738,BOS,208,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1626163,Frank,Kaminsky,1610612745,HOU,213,2021-22,9.0,95.0,13.0,41.0,7.0,181.0,0.545,0.333,0.9
1631211,Trevor,Keels,1610612752,NYK,193,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1629663,Louis,King,1610612755,PHI,201,2021-22,10.0,45.0,9.0,12.0,1.0,104.0,0.319,0.296,0.7
1630233,Nathan,Knight,1610612750,MIN,203,2021-22,37.0,138.0,22.0,85.0,8.0,267.0,0.511,0.308,0.733
1627788,Furkan,Korkmaz,1610612755,PHI,201,2021-22,67.0,509.0,127.0,175.0,9.0,1414.0,0.387,0.289,0.81
1630237,Anthony,Lamb,1610612744,GSW,198,2021-22,2.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0
1629641,Romeo,Langford,1610612759,SAS,196,2021-22,44.0,207.0,19.0,104.0,16.0,728.0,0.429,0.349,0.588
203086,Meyers,Leonard,1610612749,MIL,213,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1631171,Justin,Lewis,1610612741,CHI,201,2021-22,0.0,0.0,0.0,0.0,0.0,0.0,,,
1630587,Isaiah,Livers,1610612765,DET,198,2021-22,19.0,121.0,21.0,57.0,7.0,383.0,0.456,0.422,0.857
201577,Robin,Lopez,1610612739,CLE,216,2021-22,36.0,254.0,54.0,126.0,18.0,612.0,0.553,0.333,0.593
1630177,Theo,Maledon,1610612766,CHA,193,2021-22,51.0,361.0,111.0,131.0,11.0,908.0,0.375,0.293,0.79
203585,Rodney,McGruder,1610612765,DET,193,2021-22,51.0,273.0,48.0,111.0,7.0,754.0,0.436,0.397,0.731
203526,Raul,Neto,1610612739,CLE,188,2021-22,70.0,526.0,217.0,134.0,3.0,1372.0,0.463,0.292,0.769
1629669,Jaylen,Nowell,1610612750,MIN,193,2021-22,62.0,527.0,130.0,123.0,10.0,975.0,0.475,0.394,0.783
1628373,Frank,Ntilikina,1610612742,DAL,193,2021-22,58.0,240.0,69.0,79.0,7.0,685.0,0.399,0.342,0.96
200746,LaMarcus,Aldridge,1610612751,BKN,211,,,,,,,,,,
2546,Carmelo,Anthony,1610612747,LAL,201,,,,,,,,,,
1627853,Ryan,Arcidiacono,1610612752,NYK,190,2022-23,11.0,3.0,2.0,4.0,0.0,26.0,0.2,0.333,0.0
201571,D.J.,Augustin,1610612747,LAL,180,,,,,,,,,,
203145,Kent,Bazemore,1610612747,LAL,193,,,,,,,,,,
202357,Nemanja,Bjelica,1610612744,GSW,206,,,,,,,,,,
202339,Eric,Bledsoe,1610612757,POR,185,,,,,,,,,,
1629833,Keljin,Blevins,1610612757,POR,193,,,,,,,,,,
1630195,Leandro,Bolmaro,1610612750,MIN,198,2022-23,14.0,6.0,7.0,7.0,1.0,68.0,0.15,0.0,0.0
1629067,Isaac,Bonga,1610612761,TOR,203,,,,,,,,,,
202340,Avery,Bradley,1610612747,LAL,190,,,,,,,,,,
1629649,Ignas,Brazdeikis,1610612753,ORL,198,,,,,,,,,,
1629717,Armoni,Brooks,1610612761,TOR,190,,,,,,,,,,
1628425,Sterling,Brown,1610612742,DAL,196,2022-23,4.0,0.0,2.0,8.0,0.0,24.0,0.0,0.0,0.0
1630602,Chaundee,Brown,1610612737,ATL,196,,,,,,,,,,
203504,Trey,Burke,1610612742,DAL,183,,,,,,,,,,
1629719,Devontae,Cacok,1610612759,SAS,201,,,,,,,,,,
1630267,Facundo,Campazzo,1610612743,DEN,178,2022-23,8.0,10.0,9.0,2.0,0.0,52.0,0.231,0.273,0.5
1629962,Devin,Cannady,1610612753,ORL,188,,,,,,,,,,
1629185,Chris,Chiozza,1610612744,GSW,180,,,,,,,,,,
1627737,Marquese,Chriss,1610612742,DAL,206,,,,,,,,,,
1629109,Gary,Clark,1610612740,NOP,198,,,,,,,,,,
