PERSON_ID,NOMBRE,APELLIDO,TEAM_ID,TEAM_ABBREVIATION,ALTURA_CM,SEASON_ID,GP,PTS,AST,REB,BLK,MIN,FG_PCT,FG3_PCT,FT_PCT
200746,LaMarcus,Aldridge,1610612751,BKN,211,2021-22,47,607,42,258,47,1050,0.55,0.304,0.873
2546,Carmelo,Anthony,1610612747,LAL,201,2021-22,69,919,68,288,52,1793,0.441,0.375,0.83
1627853,Ryan,Arcidiacono,1610612752,NYK,190,2021-22,10,16,4,8,0,76,0.5,0.444,0.0
201571,D.J.,Augustin,1610612747,LAL,180,2021-22,34,182,74,41,0,510,0.404,0.406,0.868
201571,D.J.,Augustin,1610612747,LAL,180,2021-22,34,182,74,41,0,510,0.404,0.406,0.868
203145,Kent,Bazemore,1610612747,LAL,193,2021-22,39,132,34,69,9,545,0.324,0.363,0.765
202357,Nemanja,Bjelica,1610612744,GSW,206,2021-22,71,433,159,294,26,1142,0.468,0.362,0.728
202339,Eric,Bledsoe,1610612757,POR,185,2021-22,54,534,225,182,19,1361,0.421,0.313,0.761
1629833,Keljin,Blevins,1610612757,POR,193,2021-22,31,95,19,45,1,349,0.306,0.292,0.545
1630195,Leandro,Bolmaro,1610612750,MIN,198,2021-22,35,50,21,43,0,241,0.315,0.278,0.846
1629067,Isaac,Bonga,1610612761,TOR,203,2021-22,15,12,4,7,2,69,0.231,0.25,0.625
202340,Avery,Bradley,1610612747,LAL,190,2021-22,62,394,47,136,9,1406,0.423,0.39,0.889
1629649,Ignas,Brazdeikis,1610612753,ORL,198,2021-22,42,210,37,72,3,536,0.431,0.31,0.656
1629717,Armoni,Brooks,1610612761,TOR,190,2021-22,41,254,49,81,8,690,0.347,0.3,0.842
1628425,Sterling,Brown,1610612742,DAL,196,2021-22,49,160,34,149,7,628,0.381,0.304,0.933
1630602,Chaundee,Brown,1610612737,ATL,196,2021-22,2,2,0,2,0,21,0.143,0.0,0.0
203504,Trey,Burke,1610612742,DAL,183,2021-22,42,214,57,33,0,441,0.391,0.317,0.87
1629719,Devontae,Cacok,1610612759,SAS,201,2021-22,15,46,6,42,7,121,0.677,0.0,0.571
1630267,Facundo,Campazzo,1610612743,DEN,178,2021-22,65,332,220,117,23,1184,0.361,0.301,0.769
1629962,Devin,Cannady,1610612753,ORL,188,2021-22,5,50,10,6,3,145,0.341,0.405,0.714
1629185,Chris,Chiozza,1610612744,GSW,180,2021-22,34,67,65,36,0,372,0.296,0.321,0.667
1627737,Marquese,Chriss,1610612742,DAL,206,2021-22,34,154,17,103,12,346,0.463,0.32,0.667
